Confidence = 0.85
Measure                   |   Reactive |        FCN |         RNN |        GRU |      LSTM |   Transformer |   Transformer_big |   VanillaTransformer
------------------------- | ---------- | ---------- | ----------- | ---------- | --------- | ------------- | ----------------- | --------------------
Makespan [s] (simulation) |    89.8834 | 41.6523    | 59.9213     | 43.724     | 43.0938   |    56.1932    |        49.1325    |           48.6095
Predicted [s] (equation)  |    92.9465 | 44.7114    | 65.6622     | 49.0628    | 49.984    |    64.4979    |        52.8508    |           53.5516
MTS                       |    30.1646 | 29.7818    | 30.8513     | 29.6695    | 30.1542   |    30.4044    |        29.6871    |           30.2829
MTF                       |    68.8404 | 68.8528    | 68.8554     | 68.8726    | 68.825    |    68.8402    |        68.8596    |           68.8447
MTP                       |            | 11.0648    | 16.2533     |  8.76096   |  8.84444  |     9.13568   |         9.38962   |            9.26129
MTN                       |            | 12.0331    | 16.9394     |  8.80361   |  8.9731   |     9.32096   |         9.10921   |            9.67234
P_TP                      |            |  0.470588  |  0.213938   |  0.419111  |  0.382848 |     0.330033  |         0.451941  |            0.441306
P_FN                      |            |  0.0309598 |  0.114263   |  0.0896899 |  0.132466 |     0.193399  |         0.0656192 |            0.0759047
P_TN                      |            |  0.437564  |  0.422204   |  0.45767   |  0.467075 |     0.409241  |         0.391867  |            0.417476
P_FP                      |            |  0.0154799 |  0.0486224  |  0.0335289 |  0.017611 |     0.0673267 |         0.0804067 |            0.0653133
P_NCS                     |            |  0.0454076 |  0.191248   |  0         |  0        |     0         |         0.0101664 |            0
P_NCF                     |            |  0         |  0.00972447 |  0         |  0        |     0         |         0         |            0

Confidence = 0.9
Measure                   |   Reactive |        FCN |        RNN |        GRU |       LSTM |   Transformer |   Transformer_big |   VanillaTransformer
------------------------- | ---------- | ---------- | ---------- | ---------- | ---------- | ------------- | ----------------- | --------------------
Makespan [s] (simulation) |    89.8834 | 44.6595    | 70.5839    | 42.927     | 45.7254    |    52.8028    |       46.7161     |          50.9766
Predicted [s] (equation)  |    92.9465 | 47.1641    | 74.5296    | 47.2519    | 50.77      |    61.7696    |       50.3872     |          56.3405
MTS                       |    30.1646 | 31.123     | 29.5579    | 30.0609    | 30.2243    |    30.8687    |       29.3624     |          30.8211
MTF                       |    68.8404 | 68.8623    | 68.8243    | 68.8203    | 68.8417    |    68.8429    |       68.8287     |          68.8344
MTP                       |            | 13.1814    | 21.5899    |  8.82821   |  9.06415   |     9.58361   |        9.7331     |           9.6218
MTN                       |            | 13.465     | 21.0448    |  9.01865   |  9.02706   |    10.1888    |        9.55109    |          10.0173
P_TP                      |            |  0.494612  |  0.130178  |  0.445236  |  0.391304  |     0.34153   |        0.448402   |           0.421277
P_FN                      |            |  0.0215517 |  0.0571992 |  0.0810329 |  0.10628   |     0.188525  |        0.0547945  |           0.08
P_TN                      |            |  0.413793  |  0.229783  |  0.446126  |  0.459742  |     0.421448  |        0.43105    |           0.424681
P_FP                      |            |  0.0258621 |  0.0187377 |  0.0276046 |  0.031401  |     0.0484973 |        0.0575342  |           0.0697872
P_NCS                     |            |  0.044181  |  0.362919  |  0         |  0.0112721 |     0         |        0.00821918 |           0.00425532
P_NCF                     |            |  0         |  0.201183  |  0         |  0         |     0         |        0          |           0

Confidence = 0.95
Measure                   |   Reactive |        FCN |         RNN |         GRU |       LSTM |   Transformer |   Transformer_big |   VanillaTransformer
------------------------- | ---------- | ---------- | ----------- | ----------- | ---------- | ------------- | ----------------- | --------------------
Makespan [s] (simulation) |    89.8834 | 49.0729    | 86.8254     | 39.7846     | 42.2594    |   49.8481     |        43.6212    |           47.029
Predicted [s] (equation)  |    92.9465 | 51.151     | 88.6678     | 44.0651     | 47.2278    |   57.2673     |        48.2103    |           54.0778
MTS                       |    30.1646 | 30.187     | 31.1529     | 30.3772     | 30.0118    |   29.8063     |        31.0074    |           30.2235
MTF                       |    68.8404 | 68.8327    | 68.8423     | 68.808      | 68.9143    |   68.8852     |        68.8277    |           68.8811
MTP                       |            | 14.7996    | 25.5709     |  8.92774    |  9.14876   |   10.1549     |        10.6883    |           10.7498
MTN                       |            | 16.2574    | 13.4593     |  9.20654    |  9.12608   |   11.0211     |         9.96769   |           10.5939
P_TP                      |            |  0.454348  |  0.103672   |  0.467727   |  0.418464  |    0.351879   |         0.459961  |            0.382675
P_FN                      |            |  0.0163043 |  0          |  0.0692236  |  0.0983607 |    0.16763    |         0.0771484 |            0.124474
P_TN                      |            |  0.383696  |  0.0291577  |  0.45463    |  0.449525  |    0.438584   |         0.395508  |            0.405383
P_FP                      |            |  0.0380435 |  0.00323974 |  0.00841908 |  0.0207075 |    0.0325145  |         0.0390625 |            0.0496215
P_NCS                     |            |  0.0891304 |  0.436285   |  0          |  0.0129422 |    0.00939306 |         0.0283203 |            0.0378469
P_NCF                     |            |  0.0184783 |  0.427646   |  0          |  0         |    0          |         0         |            0

Confidence = 0.99
Measure                   |   Reactive |        FCN | RNN   |        GRU |       LSTM |   Transformer |   Transformer_big |   VanillaTransformer
------------------------- | ---------- | ---------- | ----- | ---------- | ---------- | ------------- | ----------------- | --------------------
Makespan [s] (simulation) |    89.8834 | 62.8837    | N/A   | 40.0419    | 39.7036    |   51.0305     |        44.0144    |           45.0365
Predicted [s] (equation)  |    92.9465 | 64.6754    | N/A   | 44.7795    | 44.8828    |   59.0558     |        49.0603    |           51.6998
MTS                       |    30.1646 | 30.5245    | N/A   | 30.3083    | 29.2335    |   30.3194     |        30.1948    |           30.7083
MTF                       |    68.8404 | 68.8147    | N/A   | 68.8057    | 68.7698    |   68.8404     |        68.8353    |           68.8347
MTP                       |            | 10.3187    | Inf   |  9.24953   |  9.55451   |   11.855      |        15.2497    |           12.311
MTN                       |            | 18.1516    | Inf   |  9.20405   |  9.68764   |   13.1033     |        11.9157    |           12.6823
P_TP                      |            |  0.330463  | N/A   |  0.458716  |  0.393208  |    0.316527   |         0.340284  |            0.320787
P_FN                      |            |  0         | N/A   |  0.0816514 |  0.0974084 |    0.178571   |         0.0777251 |            0.112917
P_TN                      |            |  0.284177  | N/A   |  0.448624  |  0.44504   |    0.461485   |         0.418957  |            0.446536
P_FP                      |            |  0.0107643 | N/A   |  0.0110092 |  0.0107239 |    0.00980392 |         0.0293839 |            0.0128315
P_NCS                     |            |  0.20775   | 0.5   |  0         |  0.0536193 |    0.0336134  |         0.133649  |            0.106929
P_NCF                     |            |  0.166846  | 0.5   |  0         |  0         |    0          |         0         |            0
